,ID,DDE,Apli_Event,Index,Sow_Area,ModNamProd,Fert_Quant,Unit,Other_uni,Equiv_uni,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,Fert,Fert_type,Fert_type2,Qtity_L_ha,Qtity_Kl_ha,Location_1,Location_2,Variety,,,
2661,RS3052,15,1,4,8,K-Mag,0.2,3,NA,NA,24,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,0.0002,1,2,8,,,
236,DS4034,65,4,1,3,Fosforo,20,3,NA,0.25,0,0,0,0,0,26,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.02,1,10,12,,,
2643,RS3050,75,5,3,9,Triple 15,20,3,gramos,NA,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.02,1,2,3,,,
2645,RS3050,80,6,4,9,Triple 15,20,3,NA,NA,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.02,1,2,3,,,
2301,RS3012,70,3,2,7.5,Triple 15,100,3,gramos por hectaria,1.5,15,15,10.3,4.7,0,15,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.100000001,1,5,1,,,
1655,LG8058,45,7,5,20,Promalina,150,3,NA,NA,0,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,0.150000006,1,14,7,,,
1069,ES1075,55,5,3,14.6,Kieserita,0.5,1,NA,NA,0,0,0,0,0,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.5,1,9,7,,,
2444,RS3032,25,6,3,4,Kelatex-Mg,0.5,1,NA,NA,0,0,0,0,0,0,Fertilizante foliar,Fertilizante quimico,Fertilizante quimico,NA,0.5,1,1,1,,,
2226,NR10037,45,3,1,1.5,Triple 18,2,2,NA,NA,18,18,7,0,11,18,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.907184005,1,14,12,,, value             label
2227,NR10037,45,3,2,1.5,Ecofertil Fase 3,2,2,NA,NA,17,24,0,0,24,0,Fertilizante edafico,Fertilizante quimico,Fertilizante quimico,NA,0.907184005,1,14,12,,1,Kilos
