Listado,Tipo,,,Productor,Listado,Tipo,,,
K-Mag,Regulador,,,RS3052,K-Mag,Regulador,,,
Fosforo,Fertilizante edafico,,,DS4034,Fosforo,Fertilizante edafico,,,DS4034
Triple 15,Fertilizante edafico,,,RS3050,Triple 15,Fertilizante edafico,,,RS3050
Promalina,Regulador,,,RS3050,Triple 15,Fertilizante edafico,,,RS3012
Kieserita,Fertilizante edafico,,,RS3012,Triple 15,Fertilizante edafico,,,LG8058
Kelatex-Mg,Quelatado,,,LG8058,Promalina,Regulador,,,ES1075
Triple 18,Fertilizante edafico,,,ES1075,Kieserita,Fertilizante edafico,,,RS3032
Ecofertil Fase 3,Fertilizante edafico,,,RS3032,Kelatex-Mg,Quelatado,,,NR10037
Urea,Fertilizante edafico,,,NR10037,Triple 18,Fertilizante edafico,,,ES1043
Korn-Kali B,Fertilizante edafico,,,NR10037,Ecofertil Fase 3,Fertilizante edafico,,,GV5008
Krista KP,Fertilizante edafico,,,ES1043,Urea,Fertilizante edafico,,,LG8008
Raizal 400,Regulador,,RS3050,ES1043,Urea,Fertilizante edafico,,,LG8019
MF Crecer 500,Fertilizante foliar,,,ES1043,Urea,Fertilizante edafico,,,LG8026
Cosmo Plan Brote,Fertilizante foliar,,,ES1043,Korn-Kali B,Fertilizante edafico,,,LG8031
Nitro Xtend XP 46N,Fertilizante edafico,,,GV5008,Krista KP,Fertilizante edafico,,,LG8051
Rebrote,Regulador,,,GV5008,Krista KP,Fertilizante edafico,,,MR9006
Sikonfert Raices,Fertilizante foliar,,ES1043,LG8008,Raizal 400,Regulador,,,MR9026
Cloruro de Potasio,Fertilizante edafico,,,LG8008,MF Crecer 500,Fertilizante foliar,,,MR9033
Magnerita K,Fertilizante edafico,,,LG8019,Raizal 400,Regulador,,,NR10017
carklin,NA,,,LG8026,Cosmo Plan Brote,Fertilizante foliar,,,NR10031
karklim,NA,,,LG8031,Nitro Xtend XP 46N,Fertilizante edafico,,,NR10035
CosmoQuel Boro,Quelatado,,,LG8051,Rebrote,Regulador,,,RS3035
Fosfacel-800,Fertilizante foliar,,,MR9006,Raizal 400,Regulador,,,RS3046
Cosmocel 20-30-10,Quelatado,,,MR9026,MF Crecer 500,Fertilizante foliar,,,RS3047
MF B-Timin AG,Fertilizante foliar,,,MR9026,MF Crecer 500,Fertilizante foliar,,,RS3052
Nitrosmart,Fertilizante edafico,,,MR9026,MF Crecer 500,Fertilizante foliar,,,RS3055
CreciGreen,Fertilizante foliar,,,MR9033,MF Crecer 500,Fertilizante foliar,,,RS3064
,,,,MR9033,Promalina,Regulador,,,LG8018
,,,,NR10017,MF Crecer 500,Fertilizante foliar,,,DS4010
,,,,NR10031,Sikonfert Raices,Fertilizante foliar,,,DS4020
,,,,NR10035,Cloruro de Potasio,Fertilizante edafico,,,LG8033
K-Mag,Regulador,,,RS3032,Magnerita K,Fertilizante edafico,,,LG8042
Fosforo,Fertilizante edafico,,,RS3035,carklin,NA,,,NR10002
Triple 15,Fertilizante edafico,,,RS3035,karklim,NA,,,NR10024
Promalina,Regulador,,,RS3046,CosmoQuel Boro,Quelatado,,,RS3057
Kieserita,Fertilizante edafico,,,RS3047,Fosfacel-800,Fertilizante foliar,,,DS4045
Kelatex-Mg,Quelatado,,,RS3047,Cosmocel 20-30-10,Quelatado,,,RS3030
Triple 18,Fertilizante edafico,,,RS3050,Cosmocel 20-30-10,Quelatado,,,DS4031
Ecofertil Fase 3,Fertilizante edafico,,,RS3052,Triple 18,Fertilizante edafico,,,LG8030
Urea,Fertilizante edafico,,,RS3052,MF Crecer 500,Fertilizante foliar,,,DS4030
Korn-Kali B,Fertilizante edafico,,,RS3052,MF Crecer 500,Fertilizante foliar,,,DS4006
Krista KP,Fertilizante edafico,,,RS3055,K-Mag,Regulador,,,DS4027
Raizal 400,Regulador,,,RS3064,MF B-Timin AG,Fertilizante foliar,,,ES1072
MF Crecer 500,Fertilizante foliar,,,LG8018,Raizal 400,Regulador,,,GV5019
Cosmo Plan Brote,Fertilizante foliar,,,LG8018,Raizal 400,Regulador,,,GV5021
Nitro Xtend XP 46N,Fertilizante edafico,,,RS3032,Nitrosmart,Fertilizante edafico,,,LG8002
Rebrote,Regulador,,,DS4010,Krista KP,Fertilizante edafico,,,LG8061
Sikonfert Raices,Fertilizante foliar,,,DS4020,Krista KP,Fertilizante edafico,,,MR9012
Cloruro de Potasio,Fertilizante edafico,,,LG8033,CreciGreen,Fertilizante foliar,,,RS3029
Magnerita K,Fertilizante edafico,,,LG8042,Cloruro de Potasio,Fertilizante edafico,,,
carklin,NA,,,NR10002,MF Crecer 500,Fertilizante foliar,,,
karklim,NA,,,NR10024,Urea,Fertilizante edafico,,,
CosmoQuel Boro,Quelatado,,,NR10035,Urea,Fertilizante edafico,,,
Fosfacel-800,Fertilizante foliar,,,RS3032,Nitrosmart,Fertilizante edafico,,,
Cosmocel 20-30-10,Quelatado,,,RS3055,K-Mag,Regulador,,,
MF B-Timin AG,Fertilizante foliar,,,RS3057,MF Crecer 500,Fertilizante foliar,,,
Nitrosmart,Fertilizante edafico,,,DS4045,Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,
CreciGreen,Fertilizante foliar,,,RS3030,Patentkali,Fertilizante edafico,,,
Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,DS4031,MicroEssentials SZ,Fertilizante edafico,,,
Patentkali,Fertilizante edafico,,,LG8030,Nitro Xtend XP 46N,Fertilizante edafico,,,
MicroEssentials SZ,Fertilizante edafico,,,RS3030,ProZinc,Fertilizante edafico,,,
ProZinc,Fertilizante edafico,,,ES1043,Urea,Fertilizante edafico,,,
prixin,NA,,,NR10037,Triple 18,Fertilizante edafico,,,
Fertilizante menores,Fertilizante edafico,,,DS4030,Triple 18,Fertilizante edafico,,,
Fertiverdor,Fertilizante foliar,,,LG8026,Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,
Potazinc,Fertilizante edafico,,,LG8026,Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,
,,,,NR10024,Triple 18,Fertilizante edafico,,,
,,,,RS3030,Patentkali,Fertilizante edafico,,,
,,,,GV5008,Krista KP,Fertilizante edafico,,,
,,,,LG8026,Triple 18,Fertilizante edafico,,,
,,,,LG8026,Triple 18,Fertilizante edafico,,,
,,,,DS4006,Patentkali,Fertilizante edafico,,,
,,,,DS4027,prixin,NA,,,
,,,,ES1072,Fertilizante menores,Fertilizante edafico,,,
,,,,ES1075,Fertiverdor,Fertilizante foliar,,,
,,,,RS3030,Nitrosmart,Fertilizante edafico,,,
,,,,RS3030,Nitrosmart,Fertilizante edafico,,,
,,,,GV5019,Urea,Fertilizante edafico,,,
,,,,GV5021,Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,
,,,,GV5021,Sulfato de amonio 21-0-0-24,Fertilizante edafico,,,
,,,,LG8002,Nitro Xtend XP 46N,Fertilizante edafico,,,
,,,,LG8061,Fertilizante menores,Fertilizante edafico,,,
,,,,LG8061,Fertilizante menores,Fertilizante edafico,,,
,,,,MR9012,Cloruro de Potasio,Fertilizante edafico,,,
,,,,RS3029,Cloruro de Potasio,Fertilizante edafico,,,
,,,,RS3029,Kieserita,Fertilizante edafico,,,
