"","Product","Event_1","Event_2","Event_3","Event_4","Event_5","Event_6","Event_7"
"1","Cloruro de Potasio",13.2,27.8,30.8,23.7,4.5,0,0
"2","DAP 18-46-0",53.3,36.7,6.7,3.3,0,0,0
"3","Ecofertil fase 3",4.1,17.1,54.5,22.8,1.6,0,0
"4","Fertilizantes menores",52,32,8,6,2,0,0
"5","NITRO XTENDÂ® 46 N",15,27.5,24.8,27.5,5.2,0,0
"6","Nutrimon",50,25,0,25,0,0,0
"7","Patentkali",8.1,16.2,35.1,29.7,10.8,0,0
"8","Sulfato de Amonio",19.1,32.4,26.2,17.5,4.8,0,0
"9","Triple 18",42.5,32.3,15.5,7.5,2,0.4,0
"10","Urea",20.9,24.2,23.3,20.1,11.1,0.2,0.2
"11","YaraVera AMIDAS",4.9,6.1,17.1,52.4,19.5,0,0
