,ID,Fert_event,Triple 18,Urea,Sulfato de Amonio,Ecofertil fase 3,Cloruro de Potasio,YaraVera AMIDAS,NITRO XTENDÂ® 46 N,Patentkali,Fertilizantes menores,Nutrimon,DAP 18-46-0
1,DS4001,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,DS4001,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,DS4001,3,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,DS4001,4,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,DS4001,5,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,DS4001,6,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,DS4001,7,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,DS4003,1,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,DS4003,2,50,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
10,DS4003,3,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA
11,DS4003,4,NA,NA,NA,NA,50,100,NA,NA,NA,NA,NA
12,DS4004,1,200,NA,125,NA,NA,NA,NA,NA,NA,NA,NA
13,DS4004,2,NA,200,200,NA,NA,NA,NA,NA,NA,NA,NA
14,DS4004,3,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA
15,DS4004,4,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,DS4005,1,50,NA,50,NA,NA,NA,100,NA,NA,NA,NA
17,DS4005,2,50,NA,NA,NA,50,NA,50,NA,NA,NA,NA
18,DS4005,3,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA
19,DS4005,4,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA
20,DS4006,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,DS4006,2,NA,NA,120,NA,NA,NA,20,NA,NA,NA,NA
22,DS4006,3,NA,NA,20,NA,NA,NA,NA,10,NA,NA,NA
23,DS4009,1,NA,150,NA,NA,NA,NA,NA,NA,100,NA,NA
24,DS4009,2,NA,150,50,NA,NA,NA,NA,NA,NA,NA,NA
25,DS4009,3,NA,NA,150,NA,200,NA,NA,NA,NA,NA,NA
26,DS4009,4,NA,NA,50,NA,100,NA,NA,NA,100,NA,NA
27,DS4009,5,NA,NA,50,NA,NA,NA,NA,NA,100,NA,NA
28,DS4010,1,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,DS4010,2,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
