a10,g7_1,a12,insumo_num,Marca_1,Marca_2,Marca_3,Marca_4,Marca_5,Tipo_Fertilizacion_1,Tipo_Fertilizacion_2,Tipo_Fertilizacion_3,Tipo_Fertilizacion_4,Tipo_Fertilizacion_5,Tipo_Nivel_2_1,Tipo_Nivel_2_2,Tipo_Nivel_2_3,Tipo_Nivel_2_4,Tipo_Nivel_2_5,_merge,a11,a12a,a13,ax_2,f4_1,f5_1,g10_1,g10_2,g10_3,g10_4,g10_5,g12_1_1,g12_1_2,g12_1_3,g12_1_4,g12_1_5,g12_c_1,g12_c_2,g12_c_3,g12_c_4,g12_c_5,g12_u_1,g12_u_2,g12_u_3,g12_u_4,g12_u_5,g12_ua_1,g12_ua_2,g12_ua_3,g12_ua_4,g12_ua_5,g9_1,g9_2,g9_3,g9_4,g9_5,id_lote_g6,row,g10_c,K2O,Ntotal,Namoniacal,Nnitrico,Nureico,P2O5,cantidad_litros_ha,cantidad_kilos_ha,Tipo_Nivel_0,Tipo_Nivel_1
DS4001,1,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,1,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
DS4001,2,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,2,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
DS4001,3,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,3,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
DS4001,4,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,4,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
DS4001,5,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,triple 18,,,,,50.0,,,,,4.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,5,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,200.0,Fertilizante edafico,Fertilizante quimico
DS4001,6,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,alto en nitrogeno para la foliada,,,,,50.0,,,,,1.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,6,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,50.0,Fertilizante edafico,Fertilizante quimico
DS4001,7,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268001,la andina,Fedearroz 67,1.5,alto en nitrogeno para la foliada,,,,,50.0,,,,,1.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,7,Urea,0.0,46.0,0.0,0.0,46.0,0.0,,50.0,Fertilizante edafico,Fertilizante quimico
DS4003,1,ESPINAL,1,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,triple 18,,,,,50.0,,,,,3.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,1,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,150.0,Fertilizante edafico,Fertilizante quimico
DS4003,2,ESPINAL,1,,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,sulfato de amonio,tripke 18,,,,50.0,50.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,2,Sulfato de Amonio,,,,,,,,100.0,,
DS4003,2,ESPINAL,2,,NUTRIMON,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,sulfato de amonio,tripke 18,,,,50.0,50.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,2,Triple 18,18.0,18.0,7.0,0.0,11.0,18.0,,50.0,Fertilizante edafico,Fertilizante quimico
DS4003,3,ESPINAL,1,,,,,,,,,,,,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,face 3,,,,,50.0,,,,,3.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,3,(Nutrimon) Ecofertil fase 3,,,,,,,,150.0,,
DS4003,4,ESPINAL,1,YARA,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,amidas,cloruro de potasio,,,,50.0,50.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,4,YaraVera AMIDAS,0.0,40.0,5.0,0.0,35.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
DS4003,4,ESPINAL,2,YARA,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,amidas,cloruro de potasio,,,,50.0,50.0,,,,2.0,1.0,,,,Bultos,Bultos,,,,,,,,,1.0,2.0,,,,1,4,KCl,,,,,,,,50.0,,
DS4003,5,ESPINAL,1,YARA,,,,,Fertilizacion edafica,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,nitrabon,,,,,50.0,,,,,2.0,,,,,Bultos,,,,,,,,,,1.0,,,,,1,5,Nitrabor,0.0,15.4,1.3,14.1,0.0,0.0,,100.0,Fertilizante edafico,Fertilizante quimico
DS4003,6,ESPINAL,1,MICROFERTISA,,,,,Fertilizacion foliar,,,,,Fertilizante quimico,,,,,Matched (3),Tolima,,73268017,villa stella,Fedearroz 67,0.75,azufre boro zinc,,,,,,,,,,1.0,,,,,Litros,,,,,,,,,,1.0,,,,,1,6,Borozinco,0.0,3.45,0.83,2.28,0.35,0.0,1.0,,Fertilizante foliar,Fertilizante quimico
